ID,Authors,Title,Source title,DOI link,Year,Is the paper actually about ecological integrity?,Is integrity actually calculated?,Geography,Does metric include animals?,Does metric include animal communities?,Environment,Animal groups,Function Metric,Function notes,Notes,Who
31,Beyene A.; Addis T.; Kifle D.; Legesse W.; Kloos H.; Triest L.,"Comparative study of diatoms and macroinvertebrates as indicators of severe water pollution: Case study of the Kebena and Akaki rivers in Addis Ababa, Ethiopia",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2008.05.001,2009,yes,yes,streams in ethiopia,yes,yes,aquatic,invertebrates,no,,canonical multivariable analysis,Jessalyn/Gavin
42,Borja A.; Dauer D.M.; Díaz R.; Llansó R.J.; Muxika I.; Rodríguez J.G.; Schaffner L.,Assessing estuarine benthic quality conditions in Chesapeake Bay: A comparison of three indices,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2007.05.003,2008,yes,yes,chesapeake bay,yes,yes,marine,invertebrates,yes,"pollution sensitivity,trophic position",compares two indeces that both do this,Jessalyn/Gavin
45,Brosed M.; Jabiol J.; Chauvet E.,Towards a functional assessment of stream integrity: A first large-scale application using leaf litter decomposition,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2022.109403,2022,yes,yes,streams in europe,yes,yes,aquatic,invertebrates,yes,litter decompostion,compares two indeces,Jessalyn/Gavin
46,Bruno D.; Belmar O.; Sánchez-Fernández D.; Guareschi S.; Millán A.; Velasco J.,Responses of Mediterranean aquatic and riparian communities to human pressures at different spatial scales,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2014.04.051,2014,yes,yes,streams in spain,yes,yes,aquatic,multiple,no,,family richness weighted by tolerance to pollution,Jessalyn/Gavin
48,Burkhard B.; Kroll F.; Nedkov S.; Müller F.,"Mapping ecosystem service supply, demand and budgets",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2011.06.019,2012,yes,yes,germany,yes,yes,multiple,multiple,no,,"calculated 7 EI metrics, one was biodiversity. lots going on in this paper",Jessalyn/Gavin
49,Burkhard B.; Müller F.,Indicating human-environmental system properties: Case study northern Fenno-Scandinavian reindeer herding,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2007.06.003,2008,yes,yes,scandanavia,no,no,,,,,species richness is one aspect of their EI calculations,Jessalyn/Gavin
50,Burkhard B.; Opitz S.; Lenhart H.; Ahrendt K.; Garthe S.; Mendel B.; Windhorst W.,Ecosystem based modeling and indication of ecological integrity in the German North Sea-case study offshore wind parks,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2009.07.004,2011,yes,yes,german north sea,yes,yes,marine,birds,no,,diversity was one axis,Jessalyn/Gavin
52,Cai W.; Zhou Z.; Xia J.; Wang W.; Dou C.; Zeng Z.,An advanced index of ecological Integrity (IEI) for assessing ecological efficiency of restauration revetments in river plain,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2019.105762,2020,yes,yes,rivers in china,yes,yes,aquatic,multiple,yes,"microhabitat,trophic position,trophic strategies",developing new method,Jessalyn/Gavin
53,Cajaiba R.L.; Périco E.; da Silva W.B.; Leote P.; Santos M.,Are Small Dung Beetles (Aphodiinae) useful for monitoring neotropical forests’ ecological status? Lessons from a preliminary case study in the Brazilian Amazon,Forest Ecology and Management,http://doi.org/10.1016/j.foreco.2018.07.005,2018,yes,yes,northern brazil,yes,yes,terrestrial,invertebrates,no,,,Jessalyn/Gavin
54,Cam E.; Nichols J.D.; Sauer J.R.; Hines J.E.; Flather C.H.,Relative species richness and community completeness: Birds and urbanization in the Mid-Atlantic states,Ecological Applications,http://doi.org/10.1890/1051-0761(2000)010[1196:RSRACC]2.0.CO;2,2000,yes,yes,mid-atlantic states,yes,yes,terrestrial,birds,no,,,Jessalyn/Gavin
66,Chin A.T.M.; Tozer D.C.; Walton N.G.; Fraser G.S.,Comparing disturbance gradients and bird-based indices of biotic integrity for ranking the ecological integrity of Great Lakes coastal wetlands,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2015.05.010,2015,yes,yes,great lakes coastal wetlands,yes,yes,riparian,birds,yes,"sensitivity,foraging locations",,Jessalyn/Gavin
70,Cox B.; Oeding S.; Taffs K.,"A comparison of macroinvertebrate-based indices for biological assessment of river health: A case example from the sub-tropical Richmond River Catchment in northeast New South Wales, Australia",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2019.105479,2019,yes,yes,freshwater streams in new south wales australia,yes,yes,aquatic,invertebrates,no,,,Jessalyn/Gavin
71,Crawford J.A.; Peterman W.E.; Kuhns A.R.; Phillips C.A.,Effectiveness of rapid sampling assessments for wetland-breeding amphibians,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2023.110736,2023,Yes,Yes,North America,Yes,Yes,aquatic,amphibians,yes,sensitivity,amphibians,Ana
75,DeLuca W.V.; Studds C.E.; King R.S.; Marra P.P.,Coastal urbanization and the integrity of estuarine waterbird communities: Threshold responses and the importance of scale,Biological Conservation,http://doi.org/10.1016/j.biocon.2008.07.023,2008,Yes,Yes,North America,Yes,Yes,marine,birds,yes,"sensitivity,foraging,nesting,migration,habitat generalism",waterbirds,Ana
76,Deng X.; Xu Y.; Han L.; Yu Z.; Yang M.; Pan G.,"Assessment of river health based on an improved entropy-based fuzzy matter-element model in the Taihu Plain, China",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2015.04.020,2015,Yes,Yes,Asia,Yes,Yes,aquatic,invertebrates,yes,sensitivity,aquatic macroinvertebrates,Ana
80,Doren R.F.; Trexler J.C.; Gottlieb A.D.; Harwell M.C.,Ecological indicators for system-wide assessment of the greater everglades ecosystem restoration program,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2008.08.009,2009,Yes,Yes,North America,Yes,Yes,aquatic,multiple,yes,trophic groups,everglades - aquatic,Ana
90,Gallardo B.; Gascón S.; Quintana X.; Comín F.A.,How to choose a biodiversity indicator - Redundancy and complementarity of biodiversity metrics in a freshwater ecosystem,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2010.12.019,2011,Yes,Yes,Europe,Yes,Yes,aquatic,invertebrates,yes,functional diversity,aquatic macroinvertebrate,Ana
92,Getachew M.; Ambelu A.; Tiku S.; Legesse W.; Adugna A.; Kloos H.,"Ecological assessment of Cheffa Wetland in the Borkena Valley, northeast Ethiopia: Macroinvertebrate and bird communities",Ecological Indicators,http://doi.org/10.1016/j.ecolind.2011.09.011,2012,Yes,Yes,Africa,Yes,Yes,aquatic,multiple,no,,aquatic macroinverts an birds,Ana
94,Gil-Sánchez J.M.; Sánchez-Cerdá M.,Current overlapping distribution of megaherbivores and top predators: An approach to the last terrestrial areas with ecological integrity,Biological Conservation,http://doi.org/10.1016/j.biocon.2022.109848,2023,Yes,Yes,Global,Yes,Yes,terrestrial,mammals,no,,megaherbivores,Ana
95,Golfieri B.; Hardersen S.; Maiolini B.; Surian N.,Odonates as indicators of the ecological integrity of the river corridor: Development and application of the Odonate River Index (ORI) in northern Italy,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2015.09.022,2016,Yes,Yes,Europe,yes,Yes,aquatic,invertebrates,no,,dragonflies,Ana
96,Gómez C.; Tenorio E.A.; Cadena C.D.,Change in avian functional fingerprints of a Neotropical montane forest over 100 years as an indicator of ecosystem integrity,Conservation Biology,http://doi.org/10.1111/cobi.13714,2021,Yes,Yes,South America,Yes,Yes,terrestrial,birds,yes,functional diversity,cool paper on bird functional space,Ana
99,Grenier M.; Lavoie I.; Rousseau A.N.; Campeau S.,Defining ecological thresholds to determine class boundaries in a bioassessment tool: The case of the Eastern Canadian Diatom Index (IDEC),Ecological Indicators,http://doi.org/10.1016/j.ecolind.2010.03.003,2010,Yes,Yes,North America,Yes,Yes,aquatic,invertebrates,no,,diatoms,Ana
102,Hak J.C.; Comer P.J.,Modeling landscape condition for biodiversity assessment—Application in temperate North America,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2017.06.049,2017,Maybe,Yes,North America,Yes,Yes,multiple,multiple,no,,indices of landscape condition that incorporate biodiversity,Ana
103,Hallett C.S.; Valesini F.J.; Clarke K.R.,A method for selecting health index metrics in the absence of independent measures of ecological condition,Ecological Indicators,http://doi.org/10.1016/j.ecolind.2011.07.002,2012,Yes,Yes,Australia,Yes,Yes,marine,fish,yes,"trophic groups,habitat functions",fish,Ana
